Project ID,Project Name,Client Name,Start Date,End Date,Status,Budget,Spent,Profit,Region,Industry,Service Line
1,Digital Upgrade,XYZ Corp,2017-01-15,2018-06-30,In Progress,500000,350000,150000,"North America",Technology,Consulting
2,Healthcare Portal,ABC Hospital,2020-02-10,2021-03-15,Planned,750000,0,750000,Europe,Healthcare,Technology
3,ERP Integration,DEF Bank,2021-04-01,2022-09-30,In Progress,1000000,500000,500000,Asia,Finance,Outsourcing
4,AI Automation,GHI Insurance,2018-11-20,2019-08-31,Completed,300000,300000,0,Australia,Insurance,Technology
5,Supply Chain Revamp,JKL Retail,2021-03-05,2022-12-31,In Progress,1500000,800000,700000,"North America",Retail,Consulting
6,Digital Transformation,MNO Corporation,2016-06-20,2017-12-31,Completed,800000,800000,0,Europe,Technology,Consulting
7,CRM Implementation,PQR Retail,2020-01-10,2021-07-15,In Progress,600000,400000,200000,"North America",Retail,Technology
8,HR System Upgrade,STU Enterprises,2018-08-05,2019-05-30,Completed,400000,400000,0,Asia,Services,Technology
9,Cloud Migration,VWX Tech,2021-03-15,2022-10-20,Planned,1200000,0,1200000,Australia,Technology,Consulting
10,Data Analytics Platform,YZA Bank,2019-09-30,2020-11-15,In Progress,900000,600000,300000,Europe,Finance,Technology
11,E-commerce Integration,BCD Retail,2020-02-28,2021-04-30,In Progress,700000,300000,400000,"North America",Retail,Technology
12,Risk Management System,EFG Insurance,2018-11-10,2019-08-15,Completed,350000,350000,0,Asia,Insurance,Consulting
13,AI Chatbot Development,HIJ Tech,2023-07-05,2024-09-10,Planned,1500000,0,1500000,Europe,Technology,Consulting
14,Marketing Campaign Analysis,KLM Corp,2015-05-12,2016-03-20,Completed,200000,200000,0,"North America",Marketing,Consulting
15,Supply Chain Optimization,NOP Retail,2020-01-02,2021-06-25,In Progress,1100000,700000,400000,Asia,Retail,Consulting
16,Financial Reporting System,QRS Bank,2018-10-18,2019-09-05,Completed,600000,600000,0,Australia,Finance,Technology
